Datum,Kl,Essingeleden,Hornsgatan innerstadsgata,Sveav�gen innerstadsgata,Uppsala innerstadsgata,Torkel Knutssonsgatan t�tort,Norr Malma landsbygd,Folkungagatan innerstadsgata,Uppsala t�tort,
2015-01-01,01:00,19.785,18.6165,51.8974,7.05549,22.8685,3.816,0,5.57199,
2015-01-01,02:00,4.45274,7.69374,9.34224,2.18975,5.51924,3.291,0,0.842124,
2015-01-01,03:00,4.62049,6.56149,9.16374,6.43549,3.64149,2.818,0,4.96299,
2015-01-01,04:00,5.30824,8.05249,8.88124,5.44149,4.75824,2.886,0,4.34699,
2015-01-01,05:00,6.64874,7.99075,5.94324,4.67649,5.63474,2.841,0,5.08775,
2015-01-01,06:00,5.86324,6.43575,6.62499,3.30524,5.48149,3.671,0,3.35,
2015-01-01,07:00,4.50199,6.785,6.601,5.147,6.66624,4.42799,0,5.66574,
2015-01-01,08:00,6.43549,7.1795,5.64124,6.21324,6.58049,5.20499,0,6.43624,
2015-01-01,09:00,4.6945,6.42075,6.70799,5.29949,6.71424,6.12099,0,5.51774,
2015-01-01,10:00,5.4445,6.49474,7.758,5.80675,7.36749,6.48499,0,6.12524,
2015-01-01,11:00,5.64999,8.04149,9.58374,6.45449,6.88574,6.792,0,6.92425,
2015-01-01,12:00,4.53999,6.02374,6.1665,5.1915,7.20924,6.946,0,3.99025,
2015-01-01,13:00,6.563,8.08124,4.57599,5.11974,8.67523,7.40099,0,5.99725,
2015-01-01,14:00,5.45149,7.05899,3.43025,6.772,7.5785,6.364,0,5.06774,
2015-01-01,15:00,6.91924,7.63799,3.32825,3.605,8.49699,5.367,0,3.74825,
2015-01-01,16:00,7.10874,8.23674,1.29275,6.0675,8.26674,5.223,0,5.05624,
2015-01-01,17:00,3.50225,5.49324,4.19624,4.33224,5.39924,5.253,0,4.38824,
2015-01-01,18:00,4.3195,5.42725,2.3902,2.95275,4.10049,4.42599,0,3.21,
2015-01-01,19:00,5.64999,5.73225,2.5885,3.61475,5.72324,3.708,0,1.48167,
2015-01-01,20:00,6.06824,7.16574,5.18925,4.06374,6.981,3.307,0,2.76925,
2015-01-01,21:00,6.30899,8.17499,5.44924,4.7085,7.51699,2.9,0,4.04724,
2015-01-01,22:00,6.02425,6.71574,4.10149,6.56075,6.94849,5.236,0,5.6685,
2015-01-01,23:00,4.24875,4.79675,3.39775,6.22749,4.924,7.64,0,5.34125,
2015-01-02,00:00,3.5645,4.268,1.92387,4.9535,4.36824,5.21799,0,5.03749,
2015-01-02,01:00,2.82475,3.701,1.69,2.8,3.416,2.692,0,2.59675,
2015-01-02,02:00,2.52375,1.6895,2.1555,3.68375,2.98325,2.661,0,4.10774,
2015-01-02,03:00,1.46425,0.4184,0,1.3626,2.2825,2.694,0,1.46475,
2015-01-02,04:00,0.0413075,1.2034,0,-0.456574,0.28605,0,0,0.16365,
2015-01-02,05:00,0.851949,1.88275,0.829674,-0.779224,1.73347,0,0,-0.161635,
2015-01-02,06:00,1.52627,2.71525,2.33315,-1.16222,2.22375,0,0,-1.14795,
2015-01-02,07:00,-0.346524,1.3035,-1.13711,0.332274,-0.639424,0,0,1.03417,
2015-01-02,08:00,-0.11319,1.2565,-0.575032,-0.544724,0.0910509,0,0,-0.455425,
2015-01-02,09:00,1.38942,2.53825,-0.2516,2.08279,3.90374,0,0,1.44345,
2015-01-02,10:00,4.1095,4.82649,1.68675,5.39299,5.88149,0,0,4.01624,
2015-01-02,11:00,6.62274,7.70099,4.84474,5.19499,9.78699,0,0,5.1815,
2015-01-02,12:00,4.64799,6.3465,-0.270074,6.03175,3.2725,0,0,5.20924,
2015-01-02,13:00,7.13374,9.43524,8.01349,6.26199,6.34525,3.486,0,4.46524,
2015-01-02,14:00,7.47624,7.133,4.283,7.0155,6.00299,3.831,0,4.91599,
2015-01-02,15:00,6.14075,7.07049,2.647,6.54199,5.77449,4.09,0,3.6934,
2015-01-02,16:00,5.05599,6.23349,2.21,5.62975,5.65299,3.544,0,5.30099,
2015-01-02,17:00,3.44675,8.37698,2.0485,4.85925,3.4281,2.889,0,3.3974,
2015-01-02,18:00,2.11402,3.35649,2.65685,2.26865,0.950399,0.944099,0,1.34325,
2015-01-02,19:00,2.53575,4.46674,2.44832,3.18999,2.75025,0.7448,0,1.54425,
2015-01-02,20:00,2.9995,3.96575,0.942274,3.0805,1.652,0.5744,0,1.752,
2015-01-02,21:00,2.24225,2.66775,4.9275,2.364,0.746999,0.4042,0,3.32975,
2015-01-02,22:00,1.57775,3.278,2.89425,2.6725,2.61975,0.3024,0,2.44225,
2015-01-02,23:00,0.884073,2.22707,6.11824,1.71975,1.989,0.2025,0,0.868602,
2015-01-03,00:00,0.889824,1.85552,2.98575,1.57097,1.55515,0.2727,0,3.64249,
2015-01-03,01:00,1.9825,3.99775,-0.637599,1.9895,4.30374,0.3431,0,0.702099,
2015-01-03,02:00,1.7175,3.20425,-0.31946,2.32825,3.5065,0.8291,0,0.92355,
2015-01-03,03:00,1.751,2.7745,-0.3499,2.2785,2.3935,1.316,0,1.7355,
2015-01-03,04:00,0.310625,2.272,-2.341,0.388,1.1107,1.302,0,1.20485,
2015-01-03,05:00,0.0494251,1.88665,-3.508,-0.703224,0.273162,-0.1983,0,-1.36585,
2015-01-03,06:00,-0.0678002,1.45557,-3.15175,0.429042,2.34925,0.4766,0,0.0490999,
2015-01-03,07:00,0.531096,1.807,-1.65712,2.89625,2.32175,1.236,0,1.42057,
2015-01-03,08:00,2.622,4.24349,1.69807,2.293,1.97375,1.281,0,1.14797,
2015-01-03,09:00,1.2273,2.293,-0.681274,3.33649,-0.445849,1.075,0,1.813,
2015-01-03,10:00,0.404567,1.61575,-3.06721,1.722,0.292309,0.6215,0,0.316012,
2015-01-03,11:00,0.357804,1.67125,3.87725,2.423,0.653219,0.4738,0,-0.0709749,
2015-01-03,12:00,1.2084,1.96325,2.81124,2.68,-1.36803,-0.04224,0,0.351224,
2015-01-03,13:00,2.03825,2.72449,3.1335,1.78975,1.03792,-0.5954,0,-0.701124,
2015-01-03,14:00,1.3913,2.25025,-0.843774,3.13425,1.50657,-0.888,0,-0.0353649,
2015-01-03,15:00,2.15025,3.36,2.09305,2.36275,1.7905,-0.9628,0,0.939232,
2015-01-03,16:00,1.49437,3.4285,-0.267125,4.07649,-0.287425,-1.062,0,-0.742125,
2015-01-03,17:00,1.6135,2.2545,-0.364773,2.62799,0.462574,-1.173,0,-0.3009,
2015-01-03,18:00,1.25355,2.09975,4.36449,1.31815,0.659249,-1.593,0,-0.106162,
2015-01-03,19:00,0.745099,1.34917,3.37725,0.445099,-0.295875,-2.093,0,-0.493899,
2015-01-03,20:00,0.1288,1.25325,1.15692,0.585649,0.260782,-1.742,0,-1.2555,
2015-01-03,21:00,0.552474,1.79875,0.927174,2.053,0.030504,-1.235,0,-1.2385,
2015-01-03,22:00,0.668249,2.13425,1.05835,1.66527,0.628675,-0.8882,0,-0.798074,
2015-01-03,23:00,0.819524,2.64225,5.08099,1.32057,2.7013,-0.845699,0,-1.15282,
2015-01-04,00:00,0.37051,1.60772,4.07825,1.5697,-0.584449,-0.4849,0,-0.694249,
2015-01-04,01:00,-0.228675,1.606,3.9975,0.195675,1.19795,-0.2405,0,-1.46025,
