Datum,Kl,Essingeleden,Hornsgatan,Sveav�gen,Norrlandsgatan,Torkel Knutssonsgatan,Norr Malma,Botkyrka H�gelbyleden,Uppsala Kungsgatan,E4 Br�nnkyrka,Uppsala Klostergatan,
16-01-01,01:00,30.41,7.66181,31.772,36.7675,6.0659,2.46,5.34949,17.3,8.44649,7.39774,
16-01-01,02:00,36.1425,11.7923,32.3277,32.6949,4.82164,2.076,2.57625,11.6785,5.02024,5.50124,
16-01-01,03:00,38.8174,6.69291,25.8831,36.8799,5.3236,1.9895,2.4745,11.3232,8.21573,5.31699,
16-01-01,04:00,25.9175,8.29482,36.0704,29.415,4.18862,1.51675,2.70625,7.62024,3.70275,4.99699,
16-01-01,05:00,20.2075,15.2068,30.2184,27.4375,3.50455,1.92675,2.65675,6.42749,2.39275,4.32549,
16-01-01,06:00,16.94,6.51119,29.3384,31.4774,3.60809,2.243,2.4105,6.84024,2.2575,3.5655,
16-01-01,07:00,25.9725,5.43068,18.1429,25.9325,4.37763,2.12475,2.596,11.6152,5.18624,3.24775,
16-01-01,08:00,25.9375,5.31623,13.3308,15.8125,4.24279,2.82075,2.62975,14.8487,3.89274,5.79575,
16-01-01,09:00,25.475,4.01962,6.04684,8.51274,3.57037,1.90375,2.4835,13.1665,4.12474,5.01675,
16-01-01,10:00,27.7299,4.5644,10.8614,11.1242,3.362,2.02575,2.22675,13.8317,4.24874,4.39749,
16-01-01,11:00,29.37,3.82714,11.2454,16.605,3.4188,2.43875,2.7285,12.9237,7.342,5.1955,
16-01-01,12:00,39.0275,5.23519,11.8102,14.3125,4.40578,2.7565,2.63925,12.4362,9.81824,5.8205,
16-01-01,13:00,49.7424,6.3636,11.9896,15.175,5.3952,1.9105,3.273,9.91673,11.9337,5.73274,
16-01-01,14:00,52.0174,7.77265,17.5951,12.83,5.71999,1.242,3.788,17.51,20.5275,6.73049,
16-01-01,15:00,57.46,7.93862,15.1007,19.87,6.74363,1.449,3.75799,18.96,20.95,8.06999,
16-01-01,16:00,53.0674,11.535,14.0713,12.2125,9.00409,1.256,3.3945,25.51,29.9075,8.21449,
